BinBase name,L1_PAC_748,L2_PAC_748,L3_PAC_748,normL1_PAC_748,normL2_PAC_748,normL3_PAC_748
zymostenol,1589,760,1797,6.398851341350051e-6,2.8207901468196774e-6,7.090693365522319e-6
xylulose,154540,262559,151181,6.223275558793184e-4,9.745050528405627e-4,5.965376258725819e-4
xylose,17766,17295,15385,7.154310442443361e-5,6.419153367006095e-5,6.070691008823644e-5
xanthosine,5746,32544,8754,2.3138955196599996e-5,1.2078920333960471e-4,3.4541975359923416e-5
xanthine,189026,700007,254222,7.612015567338167e-4,0.002598122168822108,0.0010031220082191514
valine,768692,1283166,2538528,0.0030954976936973275,0.004762555275702656,0.01001665200211054
uridine-5'-monophosphate,6487,2326,6286,2.6122938106568773e-5,8.633102475661276e-6,2.4803616302544964e-5
uridine,117671,230745,130003,4.7385729149653985e-4,8.56425292668298e-4,5.129724037829705e-4
uric acid,1194523,2686019,1280180,0.0048103052868618545,0.009969336749171637,0.005051398905216674
urea,382966,59103,462582,0.0015421916317126896,2.1936468427300447e-4,0.0018252794203728689
uracil,410517,265506,516217,0.0016531386130251725,9.854430377914543e-4,0.0020369151124484336
undecanoic acid,23364,19206,8037,9.408606843253781e-5,7.128433626291938e-5,3.171280054463154e-5
UDP-N-acetylglucosamine,26721,38149,27985,1.0760459829591864e-4,1.4159253067239983e-4,1.104246265075916e-4
UDP-glucuronic acid,2405,2561,2214,9.684856813056559e-6,9.505320481585781e-6,8.736113027972406e-6
tyrosine,4488553,13030107,9258107,0.018075257007407676,0.04836210189158698,0.036531106222702135
tryptophan,3578471,2722186,4260934,0.014410386380322378,0.010103572956066408,0.01681300859472926
trisaccharide,376,1978,818,1.514139776178489e-6,7.341477513696476e-6,3.227705716748613e-6
tridecanoic acid,1445545,791588,1536645,0.0058211627200955695,0.0029380310930798618,0.006063371456128572
tocopherol gamma-,1889,2738,1391,7.606941588300973e-6,1.0162267660516154e-5,5.488678058676431e-6
tocopherol alpha-,33641,71299,32922,1.3547121332558657e-4,2.64630942997495e-4,1.29905290472858e-4
thymine,2852,2746,1896,1.1484911281013434e-5,1.0191960188377414e-5,7.4813325659601094e-6
threonine,1677528,1039179,1762402,0.006755350719290288,0.0038569814262920075,0.006954174829595585
terephthalic acid,4748,3240,3189,1.9120041641743263e-5,1.2025473783810205e-5,1.2583317274708223e-5
tagatose,1332,1481,1742,5.363920696462095e-6,5.496829220315714e-6,6.873671587501324e-6
sucrose,3366,10763,8317,1.3554772570789346e-5,3.9947584671342356e-5,3.2817638687283875e-5
succinic acid,330491,673149,303216,0.001330876512683524,0.0024984369296598935,0.0011964450080802535
