BinBase name,L1_PAT_748,L2_PAT_748,L3_PAT_748,normL1_PAT_748,normL2_PAT_748,normL3_PAT_748
zymostenol,130,125,193,5.510101340300362e-7,5.267132816910204e-7,8.247099580539696e-7
xylulose,88282,90736,93966,3.7418674348030503e-4,3.8233485062013137e-4,4.0152692185750936e-4
xylose,12670,16599,9990,5.370229537046583e-5,6.994331010231398e-5,4.268835482362257e-5
xanthosine,5254,3312,5431,2.226928649379854e-5,1.3955795111685274e-5,2.3207252757466886e-5
xanthine,238950,162647,301991,0.001012799011742132,6.85346681017595e-4,0.001290440336490551
valine,2655354,2213687,2256987,0.011254822795670713,0.009327826755253997,0.009644350539369713
uridine-5'-monophosphate,5754,3306,2485,2.438855624006791e-5,1.3930512874164105e-5,1.0618674848518727e-5
uridine,103463,98206,79556,4.3853201151653566e-4,4.138112363339867e-4,3.399514270618736e-4
uric acid,524151,197475,1141165,0.0022216347135536733,8.321016424154739e-4,0.00487632196519512
urea,239613,179875,131244,0.001015609163425685,7.579404123533782e-4,5.608198639110632e-4
uracil,504406,357596,556466,0.002137944751273496,0.0015068045014366568,0.0023778396451733692
undecanoic acid,16484,15180,9944,6.986808499500859e-5,6.396406092855751e-5,4.2491791828438725e-5
UDP-N-acetylglucosamine,21414,18650,17997,9.076408469322457e-5,7.858562162830023e-5,7.690313531138493e-5
UDP-glucuronic acid,752,694,466,3.1873816983891325e-6,2.924312139948545e-6,1.991268603384196e-6
tyrosine,8589236,5151836,6360236,0.03640581599673548,0.021708323570351514,0.027177979092089882
tryptophan,3601650,2514663,3183169,0.015265735763302153,0.01059605120861589,0.01360202680035594
trisaccharide,525,1716,710,2.2252332335828383e-6,7.230719931054327e-6,3.0339070995767794e-6
tridecanoic acid,1141582,1194303,585389,0.00483864039097136,0.0050324420197074456,0.002501430764949509
tocopherol gamma-,1040,1172,762,4.40808107224029e-6,4.938463729135006e-6,3.256108746306346e-6
tocopherol alpha-,2636,3104,2813,1.1172790102332119e-5,1.3079344210951417e-5,1.202025446635138e-5
thymine,4862,3756,4374,2.0607779012723355e-5,1.5826680688251777e-5,1.8690576976829343e-5
threonine,1780904,1703759,1734468,0.007548431936420213,0.007179139952804889,0.007411570111533433
terephthalic acid,2211,7484,2660,9.371410818003153e-6,3.153537760140477e-5,1.136646885193554e-5
tagatose,1134,606,734,4.806503784538931e-6,2.5535059896380663e-6,3.1364617057596563e-6
sucrose,14124,14880,13826,5.986513179261716e-5,6.269994905249905e-5,5.907999937851909e-5
succinic acid,496540,502327,1077809,0.0021046043996251857,0.002116658421216041,0.004605594897306688
stigmasterol,19275,15792,12009,8.169784871868421e-5,6.654284915571674e-5,5.13157610687571e-5
stearic acid,770324,1392150,798413,0.003265048696050412,0.005866111160849232,0.0034117054494287257
