BinBase name,L1_PF_748,L2_PF_748,L3_PF_748,normL1_PF_748,normL2_PF_748,normL3_PF_748
zymostenol,4936,4046,1783,1.887999588128453e-5,1.5599340222705217e-5,7.285208398881823e-6
xylulose,190355,143659,130965,7.281000032378275e-4,5.538768208239271e-4,5.351134705325618e-4
xylose,23340,76738,16686,8.927453481952612e-5,2.9586311666088803e-4,6.817778314287273e-5
xanthosine,10132,9174,8116,3.875448101077286e-5,3.5370328028447275e-5,3.3161386071410474e-5
xanthine,283152,228949,278599,0.001083044690797706,8.827121464775426e-4,0.0011383352634436773
valine,1753424,639751,1077018,0.006706774290548104,0.0024665579601621072,0.0044006172626735295
uridine-5'-monophosphate,10479,4901,6213,4.008174166126025e-5,1.8895790022609558e-5,2.538586639498192e-5
uridine,168910,203533,152115,6.460737650542483e-4,7.847208387414388e-4,6.215308332001729e-4
uric acid,1066954,881310,1311591,0.004081054928184776,0.0033978879218171864,0.005359065490239937
urea,464092,631574,228914,0.001775132708374615,0.0024350315624851273,9.353259649027669e-4
uracil,476976,468381,401002,0.0018244134755817604,0.0018058414663497016,0.0016384650243232801
undecanoic acid,33223,36595,2094,1.2707660112721149e-4,1.4109190693274777e-4,8.55593179319043e-6
UDP-N-acetylglucosamine,47367,39220,26061,1.8117681622949845e-4,1.5121258614298039e-4,1.0648335170121098e-4
UDP-glucuronic acid,2284,2895,1589,8.736205549605727e-6,1.1161663357570838e-5,6.4925385001812765e-6
tyrosine,6658026,3741811,12739550,0.025466674120236083,0.014426540493836093,0.05205287529892031
tryptophan,3698554,3570062,3769941,0.01414681610346605,0.013764362766720573,0.015403704899881625
trisaccharide,1002,5459,907,3.8326085642315836e-6,2.1047157260441865e-5,3.705936072790697e-6
tridecanoic acid,2025703,2521364,1868084,0.007748230205977657,0.009721110939515798,0.007632855438371705
tocopherol gamma-,3738,4359,994,1.4297695422253154e-5,1.6806110734249147e-5,4.061411749012076e-6
tocopherol alpha-,7277,5782,19833,2.7834224073765705e-5,2.2292482740405727e-5,8.103619639653571e-5
thymine,1932,2212,3880,7.389820105883653e-6,8.528359014489358e-6,1.585339797401092e-5
threonine,1797836,1838740,1664017,0.006876648353975902,0.007089256263246909,0.006799052509412301
terephthalic acid,2529,4117,2286,9.673320418105465e-6,1.5873080498486747e-5,9.340429837265196e-6
tagatose,1284,1239,1284,4.911246902668017e-6,4.776960587229799e-6,5.2463306697500056e-6
sucrose,15332,6002,13067,5.8644265974848946e-5,2.314069204564427e-5,5.339081219752595e-5
succinic acid,852329,815377,334488,0.00326012317858577,0.0031436834485340367,0.0013666936550337538
stigmasterol,12995,12176,4695,4.9705337616955523e-5,4.6944529548111405e-5,1.918342873401579e-5
stearic acid,1095928,1060399,732020,0.0041918792800211485,0.004088364995752939,0.0029909805115813076
squalene,2357,10925,9231,9.01542753083218e-6,4.2121302998777685e-5,3.771719502528216e-5
spermidine,73830,76788,97122,2.8239669690341104e-4,2.9605589150298774e-4,3.968334324824455e-4
sorbitol,3789795,255225,3254406,0.014495809155371292,9.840191814977607e-4,0.01329726636263118
sophorose,107145,88703,73184,4.0982519422614076e-4,3.4199413637533884e-4,2.9902450446649874e-4
shikimic acid,23225,24717,34984,8.883466457512828e-5,9.52963154435504e-5,1.429420811141232e-4
serine,8912895,9724128,9555701,0.034091454799497864,0.03749134479513941,0.03904389970970467
salicyl alcohol,788,919,711,3.0140674137869143e-6,3.543201597791917e-6,2.905094319464372e-6
saccharic acid,51792,43125,25678,1.981022582421978e-4,1.6626830131096453e-4,1.0491844154037433e-4
ribulose-5-phosphate,15885,9075,5152,6.07594681066055e-5,3.498863384108993e-5,2.105069751600625e-5
ribose-5-phosphate,3953,2823,8066,1.5120061531344762e-5,1.0884067584947314e-5,3.2957089705766e-5
ribonic acid,17288,10222,15666,6.612588508825911e-5,3.9410888718856337e-5,6.401013728372553e-5
ribitol,550854,324122,822278,0.0021069937705002245,0.0012496513474205785,0.00335976813898808
quinic acid,278765,183224,114685,0.0010662645972135904,7.064195533773951e-4,4.6859457387872223e-4
pyrophosphate,506512,219342,351032,0.0019373874541777126,8.456723883165121e-4,0.0014342912364981961
putrescine,344259,466357,201211,0.0013167764388361286,0.001798037940741507,8.221335205537915e-4
pseudo-uridine,63870,72426,69894,2.4430010877991143e-4,2.792382142782126e-4,2.855818036070926e-4
prunin,26288,21838,14778,1.0055051291069848e-4,8.419634003545145e-5,6.038183382987973e-5
propyleneglycol,1032466,891577,309796,0.003949139754369188,0.0034374723078939326,0.0012658039378238884
proline,1720578,1886775,1575546,0.006581139698830789,0.0072744550540520606,0.006437566434113662
pipecolinic acid,5076,9514,3121,1.9415490091855807e-5,3.668119695472503e-5,1.2752179143527856e-5
phthalic acid,106320,163842,98991,4.0666960334241717e-4,6.316923135858795e-4,4.044700306302358e-4
phosphoinositol,38310,43318,17619,1.465341657641836e-4,1.6701241220146927e-4,7.198995332579856e-5
