BinBase name,L1_SAC_907,L2_SAC_907,L3_SAC_907,normL1_SAC_907,normL2_SAC_907,normL3_SAC_907
zymostenol,9591,1246,4921,3.799133193161388e-5,5.191550051473635e-6,1.9701262640350728e-5
xylulose,217489,159784,296842,8.615052435069097e-4,6.657517122188309e-4,0.001188409308003859
xylose,22907,12142,20684,9.073792519627557e-5,5.0590530276880324e-5,8.280855851514213e-5
xanthosine,11339,2730,7733,4.4915411612195784e-5,1.1374744494801786e-5,3.095912700626543e-5
xanthine,490428,119957,328582,0.0019426559208171755,4.998096063600504e-4,0.0013154806504555422
valine,2304278,3935643,3121718,0.009127576932615511,0.016398144156686882,0.012497822842330907
uridine-5'-monophosphate,3282,16122,11435,1.3000474549010191e-005,6.717349111545581e-5,4.578011345100804e-5
uridine,155042,135227,159243,6.141436852613156e-4,5.634331772155901e-4,6.375306170772955e-4
uric acid,1577975,397540,843981,0.00625058617503789,0.0016563794602430409,0.0033788846463047853
urea,320097,296396,372768,0.0012679503052146603,0.0012349555931433223,0.0014923796528994635
uracil,623433,310042,543778,0.0024695078761465786,0.0012918126493250313,0.0021770195480684085
undecanoic acid,49970,30250,45120,1.9793836478185228e-4,1.2603883551932381e-4,1.8063827887271385e-4
UDP-N-acetylglucosamine,29817,20605,40302,1.1810943011207705e-4,8.585223821076585e-5,1.6134937755159825e-4
UDP-glucuronic acid,7767,5750,5914,3.076620530839797e-5,2.395779518135907e-5,2.367674603841378e-5
tyrosine,182169,1068959,1808612,7.21597638061742e-4,0.004453895787699202,0.0072407925272282075
tryptophan,3853357,5682910,5213653,0.015263701891148769,0.02367825979375605,0.020872901253536375
trisaccharide,489,650,579,1.936999407210842e-6,2.70827249876233e-6,2.3180311052150114e-6
tridecanoic acid,1804174,2329258,2264148,0.007146592982628249,0.009705023667572534,0.00906453452644276
tocopherol gamma-,1973,707,802,7.815337076537815e-6,2.945767164038411e-6,3.210813378898859e-6
tocopherol alpha-,19520,5842,14536,7.732153052915263e-5,2.4341119904260816e-5,5.819499161555338e-5
thymine,4684,6311,5325,1.855399841181101e-5,2.6295242676444713e-5,2.1318679853661375e-5
threonine,1635342,2368923,2068997,0.006477825121854791,0.009870290788593162,0.008283245945762597
terephthalic acid,3741,1795,2000,1.4818639636760244e-5,7.478998669659049e-6,8.00701590747845e-6
tagatose,2987,3980,4296,1.1831937074312444e-5,1.6582960838575497e-5,1.7199070169263713e-5
sucrose,7416,23576,10075,2.9375843770706756e-5,9.823112681664722e-5,4.03353426339227e-5
succinic acid,395387,291479,322549,0.0015661848356214175,0.0012144685533334542,0.0012913274869706334
stigmasterol,383,140,156,1.5171181451160582e-6,5.833202305026557e-7,6.245472407833192e-7
stearic acid,1471460,1831456,1344271,0.005828664923792363,0.007630895257681941,0.005381799640480982
squalene,3211,3417,2210,1.2719233326286326e-5,1.4237180197339817e-5,8.847752577763688e-6
spermidine,55518,17585,111745,2.19914791594134e-4,7.326918752420857e-5,4.4737199629058975e-4
sorbitol,4388589,91274,3657947,0.01738383290693665,3.8029979084928137e-4,0.014644619908856538
sophorose,66966,33476,45429,2.652619679003706e-4,1.39480200259335e-4,1.8187536283041926e-4
shikimic acid,30998,14436,18544,1.2278754115485006e-4,6.014864891097384e-5,7.424105149414019e-5
serine,10227911,10181197,11324842,0.040514228106350206,0.0424207012916639,0.04533909502184004
salicyl alcohol,50241,44503,45662,1.990118348009814e-4,1.8542500155756917e-4,1.828081801836405e-4
saccharic acid,17130,16574,13363,6.785439641210986e-5,6.90567821453644e-5,5.349887678581727e-5
