BinBase name,L1_SAT_748,L2_SAT_748,L3_SAT_748,normL1_SAT_748,normL2_SAT_748,normL3_SAT_748
zymostenol,756,736,532,2.7080273862379724e-6,3.005270787637701e-6,1.9156789151311533e-6
xylulose,217797,146256,252450,7.801590484662324e-4,5.971995710825266e-4,9.090472596331949e-4
xylose,45716,35298,34921,1.637568518376391e-4,1.441305003560266e-4,1.2574703645732146e-4
xanthosine,10738,6501,29636,3.846401861563935e-5,2.6545197541348768e-5,1.0671627881358432e-4
xanthine,528184,307988,846391,0.0018919798108104726,0.0012575914936725004,0.0030477695350691206
valine,1287665,3048272,1084101,0.004612476301984284,0.012446851622790692,0.0039037395255124034
uridine-5'-monophosphate,3398,10453,10011,1.2171795050842103e-5,4.2682195031490336e-5,3.604861206649996e-5
uridine,217283,137053,261089,7.783178764073351e-4,5.596214364919971e-4,9.401554366027776e-4
uric acid,2930648,1379061,444370,0.010497718311406801,0.005631048556617439,0.0016001320291669748
urea,247396,288172,177789,8.861840519123406e-4,0.0011766778443140374,6.402004485756629e-4
uracil,392947,482531,646764,0.0014075545467461012,0.0019702939109097926,0.0023289326275674534
undecanoic acid,41936,24904,34955,1.5021671490644922e-4,1.016892169773496e-4,1.2586946706467944e-4
UDP-N-acetylglucosamine,46579,21963,15005,1.668481582322467e-4,8.96803835718571e-5,5.40315077472612e-5
UDP-glucuronic acid,6079,5313,6482,2.1775262540926764e-5,2.1694298498259655e-5,2.334103520278221e-5
tyrosine,19573443,3439811,14329488,0.07011298900392585,0.014045602599585365,0.05159905644027233
tryptophan,2729927,4416525,3089482,0.009778726294220198,0.01803376843121141,0.0111249164024008
trisaccharide,1243,5314,3892,4.452484181341005e-6,2.1698381746612424e-5,1.401470364227528e-5
tridecanoic acid,620180,1147161,677310,0.0022215137888850077,0.004684143263610397,0.002438925725577973
tocopherol gamma-,2041,658,1093,7.310957533481087e-6,2.686777416121749e-6,3.935783936538253e-6
tocopherol alpha-,8155,3280,5871,2.921159171265961e-5,1.339305459708106e-5,2.1140885170554514e-5
thymine,2596,4036,4678,9.29899351147325e-6,1.6479990351774132e-5,1.6845011212375065e-5
