BinBase name,L1_SF_907,L2_SF_907,L3_SF_907,normL1_SF_907,normL2_SF_907,normL3_SF_907
zymostenol,639,488,631,2.555892100459087e-6,2.0221131917389733e-6,2.7273557581825764e-6
xylulose,294271,285629,141255,0.0011770343103195556,0.0011835536246787115,6.105430073250076e-4
xylose,94433,73718,101127,3.7771605433905e-4,3.0546340218978203e-4,4.3709874129592614e-4
xanthosine,2731,3189,3080,1.0923538851883829e-5,1.321417821404833e-5,1.3312608138197044e-5
xanthine,261450,247628,216699,0.0010457558523709364,0.0010260898472211853,9.366327503049224e-4
valine,3928979,4080958,5883332,0.01571525256489772,0.01691016189904241,0.025429380994452952
uridine-5'-monophosphate,4634,7961,11332,1.8535217517257293e-5,3.2987793277528614e-5,4.898002448767822e-5
uridine,212749,121897,171821,8.509600758694371e-4,5.051014994537001e-4,7.426576762705046e-4
uric acid,739231,385831,752815,0.002956799175765996,0.001598758104266065,0.003253873732323639
urea,468421,353718,583425,0.0018736049038953772,0.0014656922826957503,0.002521723507476497
uracil,721491,560561,529308,0.002885842171286897,0.0023227823624475214,0.0022878149313028573
undecanoic acid,45677,24569,38640,1.8270028712467874e-4,1.0180594058982547e-4,1.670127202791993e-4
UDP-N-acetylglucosamine,26416,17383,26297,1.0565953947688145e-4,7.202949510655445e-5,1.1366287539291158e-4
UDP-glucuronic acid,7538,6989,7960,3.0150727156902343e-5,2.8960141592343614e-5,3.440531194157418e-5
tyrosine,1048358,8913640,1203719,0.004193254977547868,0.03693522342297578,0.00520280498555273
tryptophan,7107168,5143399,5694436,0.028427471905846022,0.021312571656305415,0.024612920466247475
trisaccharide,866,749,639,3.4638537699492477e-6,3.103612255353465e-6,2.761933961138932e-6
tridecanoic acid,2707052,1663079,2283437,0.010827750895668188,0.00689125816558209,0.009869643503006573
tocopherol gamma-,564,501,636,2.2559047647244522e-6,2.075980961191036e-6,2.7489671350302985e-6
tocopherol alpha-,3358,3448,3507,1.3431432978625374e-5,1.4287389928516351e-5,1.5158219720992543e-5
thymine,6843,6430,6652,2.7370844512428064e-5,2.6643827505904913e-5,2.875177575820998e-5
threonine,3064494,2301322,2410266,0.012257458539130312,0.009535929456227698,0.010417833365850532
terephthalic acid,1748,2165,1459,6.991704838188551e-6,8.971055451055075e-6,6.306199764165418e-6
tagatose,2929,2377,3121,1.1715505418223265e-5,9.849514460581022e-6,1.3489821428348368e-5
sucrose,6212,11137,6609,2.4846951061114004e-5,4.614810372212488e-5,2.8565917917319565e-5
succinic acid,114476,84982,107464,4.578846699407738e-4,3.5213775258270783e-4,4.644890003127296e-4
stigmasterol,206,102,797,8.239652154844631e-7,4.226548064700313e-7,3.4448534695269624e-6
stearic acid,1120011,696883,749590,0.004479854878446451,0.002887656367620145,0.003239934394256858
squalene,2056,2110,1789,8.223652830272118e-6,8.743153349527117e-6,7.732550636115102e-6
spermidine,27417,67930,78871,1.0966337045115304e-4,2.8147981375989433e-4,3.4090218067134385e-4
sorbitol,2965270,107130,2499144,0.011860579293784533,4.439118570307299e-4,0.010801988556144906
sophorose,70768,50945,38018,2.83060050336915e-4,2.1109950113348767e-4,1.643242649993426e-4
shikimic acid,10004,6274,8217,4.001431075585713e-5,2.599741427248016e-5,3.5516136711547116e-5
serine,12705813,11955536,9398528,0.05082110653616647,0.04953985053260286,0.040623026084374285
salicyl alcohol,40172,47054,28898,1.6068121668175655e-4,1.9497646336902796e-4,1.249051136290968e-4
saccharic acid,13466,10850,10343,5.386172617336786e-5,4.4958869119606266e-5,4.470529414719871e-5
ribulose-5-phosphate,928,874,1181,3.7118433008232124e-6,3.621571577007915e-6,5.104607211432048e-6
ribose-5-phosphate,875,2471,981,3.499852250237404e-6,1.0239019870465168e-5,4.2401521375231496e-6
ribonic acid,145838,122360,143439,5.833273742515686e-4,5.070200207811081e-4,6.199828567320928e-4
ribitol,100627,599787,572883,4.024910084395877e-4,0.0024853221412572614,0.0024761580805307587
quinic acid,13936,9064,14096,5.574164681063824e-5,3.755826633180749e-5,6.09267936090992e-5
pyrophosphate,231234,169632,129586,9.248969545501667e-4,7.028998052071014e-4,5.601063760377929e-4
putrescine,85061,77544,68146,3.4022963686565006e-4,3.213171011069814e-4,2.9454577733297913e-4
pseudo-uridine,58548,80212,37560,2.3418211376788518e-4,3.32372424868374e-4,1.6234466288009123e-4
prunin,20479,13852,5719,8.191254198012777e-5,5.739818018845954e-5,2.4719092838424965e-5
propyleneglycol,194815,125856,169969,7.792271041485712e-4,5.215063070891397e-4,7.346528222861083e-4
proline,161166,1752290,9878365,6.446367860134417e-4,0.007260919517935011,0.042697013730870405
