BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
zymosterol,1219,1715,955,1.8825404121506418e-5,2.6859421780078032e-5,1.4652138741239824e-5
xylose,2515497,2013973,2086336,0.038847619024968846,0.03154177857766128,0.03200972202391972
xylonic acid,1563,1405,1298,2.4137905366623895e-5,2.200436594811057e-5,1.991463464516156e-5
xylitol,19204,17999,19604,2.965734706721979e-4,2.8189080619220086e-4,3.0077542186729374e-4
vanillic acid,778,654,696,1.2014901071806392e-5,1.0242601658408764e-5,1.0678417344400961e-5
valine,9622,7463,25640,1.4859560168755927e-4,1.1688155378701011e-4,3.933830757333917e-4
uridine,7782,6827,6937,1.2017989735320996e-4,1.0692085859626398e-4,1.0643129470992739e-4
uric acid,448,419,438,6.918606272711136e-6,6.5621561083689185e-6,6.720038501217846e-6
urea,8958,6588,14268,1.3834123881907668e-4,1.0317776716452131e-4,2.189075555602197e-4
UDP-glucuronic acid,10902,10363,12361,1.6836304818101965e-4,1.6229981802154438e-4,1.896493057387073e-4
tyrosol,271,233,207,4.1851390622873165e-6,3.6491226091884438e-6,3.175908606739941e-6
tryptophan,1501,1765,1437,2.318041967709691e-5,2.7642495301363103e-5,2.2047249603310603e-5
trehalose,23645,20217,24780,3.651572440139616e-4,3.166279475964067e-4,3.80188479589448e-4
trans-phytol,1179,415,638,1.820767141858578e-5,6.4995102266661125e-006,9.788549232367546e-6
tocopherol alpha-,857,2214,666,1.323492316007465e-5,3.467449552250307e-5,1.0218140734728505e-5
threose,369,387,363,5.698584184442877e-6,6.060989054746471e-6,5.569346977036708e-6
threonine,4559,10647,5133,7.040608481537962e-5,1.6674767562244362e-4,7.875332791495708e-5
threonic acid,15666,12737,15195,2.4193501309886754e-4,1.9948014881215968e-4,2.3313010279909856e-4
tartaric acid,421,366,400,6.501636698239706e-6,5.73209817580674e-6,6.1370214622994024e-6
sucrose,1907221,2039819,2211844,0.02945381958492501,0.031946564942283956,0.0339353352481454
succinic acid,9933,8886,8123,1.533984734527672e-4,1.3916782620278332e-4,1.2462756334564513e-4
succinate semialdehyde,724,622,437,1.1180961922863531e-5,9.741434604786318e-6,6.704695947562097e-6
stigmasterol,680,531,911,1.050145594965083e-5,8.316240796047484e-6,1.397706638038689e-5
squalene,3276,5799,1819,5.059230836920018e-5,9.082086699864286e-5,2.7908105099806534e-5
spermidine,389,660,1160,6.007450535903196e-6,1.0336570480962973e-5,1.7797362240668267e-5
sorbitol,5482949,5732349,5948940,0.0846749226436501,0.08977701433329943,0.09127193114482852
shikimic acid,17744,15923,18881,2.740262270155946e-4,2.4937759358844457e-4,2.8968275557418756e-4
serine,13185,92297,27158,2.0362014220021501e-4,0.001445506735880969,4.1667307218281794e-4
salicylic acid,1278,1531,408,1.9736559858314357e-5,2.397771122174896e-5,6.259761891545391e-6
saccharopine,91,141,95,1.4053418991444496e-6,2.208267330023908e-6,1.4575425972961082e-6
saccharic acid,2676,2598,2700,4.132631782539062e-5,4.0688500165972435e-5,4.142489487052097e-5
ribulose MassBank,7028,12248,11048,1.0853563590315594e-4,1.9182168977399167e-4,1.695045327887095e-4
ribose,58663,56789,57721,9.059513387858334e-4,8.89399244005161e-4,8.855875395634595e-4
ribonic acid,3215,3045,3235,4.965026599724621e-5,4.768917744626099e-5,4.963316107634642e-5
ribitol,24347,20768,20952,3.759984529502188e-4,3.252574178009682e-4,3.214571841952427e-4
resveratrol,82,78,83,1.2663520409873062e-6,1.2215946932047152e-6,1.273431953427126e-6
raffinose,2043,2654,2975,3.155069780167154e-5,4.156554250981172e-5,4.564409712585181e-5
quinic acid,1199381,1505002,1416049,0.018522421674041417,0.023570544313621572,0.021725807761669016
pyrophosphate,56414,60232,61824,8.712193175641206e-4,9.433216866808513e-4,9.485380372129957e-4
