BinBase name,F_PAT_19_019,F_PAT_20_020,F_PAT_21_021,normF_PAT_19_019,normF_PAT_20_020,normF_PAT_21_021
zymosterol,1949,831,1108,2.7802481584743162e-5,1.1872030313765047e-5,1.4811547124915615e-5
xylose,2157273,1689670,2232532,0.030773495564783804,0.02413936637817014,0.029844091088341254
xylonic acid,3743,2074,3678,5.339388844109474e-5,2.9630073249998443e-5,4.91668504742235e-5
xylitol,19829,13000,20166,2.8286065025339774e-4,1.8572369925264211e-4,2.695755048023902e-4
vanillic acid,1203,972,1075,1.7160792891968203e-5,1.388641812873601e-5,1.4370408988523725e-5
valine,12378,11244,14663,1.765721483098773e-4,1.6063671341513138e-4,1.960123786034636e-4
uridine,1060,795,818,1.5120898142548873e-5,1.1357718531219268e-5,1.0934878653592937e-5
uric acid,407,311,387,5.805854286808859e-6,4.443082343659362e-6,5.173347235868541e-6
urea,11822,13861,16624,1.68640809284163e-4,1.9802432271852864e-4,2.2222667816299387e-4
UDP-glucuronic acid,10805,2127,11263,1.5413330606626468e-4,3.038725448541306e-5,1.5056178273278393e-4
tyrosol,1554,1186,1400,2.2167807276906553e-5,1.6943715947202582e-5,1.8714951240868105e-5
tryptophan,1245,997,1689,1.775992281837108e-5,1.4243579088837245e-5,2.257825188987588e-5
trehalose,36502,20665,23763,5.207009660370933e-4,2.952292496196807e-4,3.176595616691063e-4
trans-phytol,1097,674,997,1.5648703077713314e-5,9.62905948432929e-6,1.3327718847961072e-5
tocopherol alpha-,456,661,633,6.504839200945553e-6,9.44333578507665e-6,8.461831525335366e-6
threose,138,257,182,1.968569758180891e-6,3.671614669840694e-6,2.4329436613128536e-6
threonine,3764,2803,9238,5.3693453404296186e-5,4.004488684655045e-5,1.2349194254509968e-4
threonic acid,15046,10907,14724,2.1463116363470785e-4,1.5582218367296674e-4,1.9682781576467286e-4
tartaric acid,286,273,311,4.079789498838658e-6,3.900197684305484e-6,4.157392739935701e-6
sucrose,19437,12152,9888,2.7726877094030417e-4,1.7360879948600822e-4,1.3218102704978845e-4
succinic acid,32253,17824,21245,4.6008898848266865e-4,2.546414781137764e-4,2.8399938508017353e-4
succinate semialdehyde,566,525,653,8.07398900819119e-6,7.500380162125932e-6,8.729187971633481e-6
stigmasterol,1625,1425,779,2.3180622152492375e-5,2.0358174725770386e-5,1.041353358331161e-5
squalene,7623,6879,4968,1.0874208164212269e-4,9.827640978145578e-5,6.641134126045197e-5
spermidine,346,632,1058,4.935689393699915e-6,9.029029071359216e-6,1.4143156009170326e-5
sorbitol,5955378,3214406,2260323,0.08495345673431738,0.045922413324606795,0.0302155962382948
shikimic acid,8978,4617,9771,1.280711542677394e-4,6.596048611149605e-5,1.3061699183894448e-4
serine,15743,9966,52399,2.2457386741334614e-4,1.4237864513475627e-4,7.004605214787485e-4
salicylic acid,1242,1015,1227,1.7717127823628018e-5,1.4500734980110134e-5,1.6402317980389405e-5
saccharopine,159,110,108,2.2681347213823308e-6,1.5715082244454333e-6,1.4437248100098254e-6
saccharic acid,3250,2458,3425,4.636124430498475e-5,3.511606559715341e-5,4.578479142855233e-5
ribulose MassBank,10291,6815,10621,1.4680109696695324e-4,9.736207772359662e-5,1.419796408066144e-4
ribose,62432,41353,62392,8.905923705996332e-4,5.907870873226546e-4,8.340451698716021e-4
ribonic acid,1171,1454,2173,1.6704312948042197e-5,2.0772481439487818e-5,2.904827789029028e-5
ribitol,22242,13771,20283,3.1728209102506797e-4,1.967385432621642e-4,2.7113954001323416e-4
resveratrol,78,119,61,1.112669863319634e-6,1.7000861700818779e-6,8.154371612092532e-7
raffinose,202132,129176,136994,0.002883412625801593,0.0018454649672814845,0.0018313114502082038
quinic acid,1685431,1622663,1464501,0.024042670261598384,0.02318207500003,0.019577189148001845
pyrophosphate,30796,42042,37017,4.393048860357878e-4,6.006304433830446e-4,4.948366786308677e-4
putrescine,28314,22837,28745,4.0389916038502713e-4,3.26259393833276e-4,3.8425805244196695e-4
propyleneglycol,92585,60210,122171,0.0013207248627621578,8.60186456307814e-4,0.0016331602200343554
proline,5882,3686,28790,8.390671969289856e-5,5.2659811957326066e-5,3.848596044461377e-4
pipecolinic acid,1166,1199,4440,1.6632987956803758e-5,1.7129439646455222e-5,5.935313107818171e-5
pinitol,1955,1257,1914,2.788807157422929e-5,1.7958053073890087e-5,2.558601191072968e-5
phosphate,70913,42062,80280,0.0010115738207382718,6.009161721511256e-4,0.0010731687754406368
phenylethylamine,3449,3013,2725,4.9199978956274586e-5,4.304503891140083e-5,3.642731580811828e-5
phenylalanine,4142,2794,6008,5.9085622741922104e-5,3.9916308900914005e-5,8.031387646795399e-5
pentono-gamma-lactone,572,523,598,8.159578997677315e-6,7.471807285317833e-6,7.993957744313662e-6
pentitol,2088,1859,2175,2.978531634117174e-5,2.655848899312782e-5,2.9075013534920094e-5
palmitoleic acid,569,441,173,8.116784002934254e-6,6.300319336185783e-6,2.3126332604787016e-6
oxoproline,25403,22026,29330,3.623737504860085e-4,3.1467309228759197e-4,3.9207822849618684e-4
oleic acid,4020,3874,1844,5.734529295570421e-5,5.534566237728735e-5,2.4650264348686278e-5
oleamide NIST,1508,1153,95,2.1511617357512924e-5,1.6472263479868952e-5,1.26994311991605e-6
nicotinic acid MassBank,352505,72141,172521,0.005028483207301123,0.0010306379529065274,0.002306230073589862
N-acetylmannosamine,587,279,355,8.373553971392631e-6,3.985916314729781e-6,4.745576921791555e-6
N-acetyl-D-galactosamine,1657,1004,1502,2.3637102096418377e-5,1.4343584157665592e-5,2.0078469116988497e-5
myristic acid,27967,20778,25874,3.9894920599307953e-4,2.968436171593383e-4,3.4587903457587244e-4
mucic acid,119291,74114,87489,0.0017016859059649032,0.0010588250958777168,0.0011695374065087928
montanic acid,2171,1439,1750,3.096931119572981e-5,2.055818486342708e-5,2.3393689051085132e-5
methylmalonic acid,3771,16364,23149,5.3793308392029996e-5,2.337832780438643e-4,3.094517187677541e-4
methionine sulfoxide,236,475,666,3.366539586454277e-6,6.786058241923462e-6,8.902969661727256e-6
methionine,72,197,345,1.0270798738335084e-6,2.8144283655977304e-6,4.611898698642497e-6
melezitose,327,226,257,4.66465442699385e-6,3.228735079315163e-6,3.435530334930788e-6
mannoheptulose,3146,4354,2128,4.487768448722524e-5,6.220315281123106e-5,2.844672588611952e-5
mannitol,3047579,4441572,2626503,0.043473709094689575,0.06345424479515048,0.035110625413567
maltose,6148,6329,4834,8.770120922678346e-5,9.041886865922861e-5,6.462005307025459e-5
malonic acid,101,173,169,1.4407648230164492e-6,2.4715538439005452e-006,2.2591619712190784e-6
malic acid,1227443,1097353,1535143,0.017509472244136428,0.015677266041998813,0.02052151885197142
maleic acid,5198,2161,3062,7.414946089148022e-5,3.087299339115074e-5,4.093227192824153e-5
lyxose,110886,72220,110291,0.0015817885956930888,0.0010317665815404472,0.0014743504909332744
lysine,29847,25589,38528,4.2576740269873223e-4,3.6557567232121995e-4,5.150354581486903e-4
loganin,361,298,398,5.149664367415229e-6,4.257358644406719e-6,5.320393281332505e-6
linolenic acid,882,1429,1438,1.2581728454460476e-5,2.0415320479386583e-5,1.9222928488834527e-5
linoleic acid,14415,11121,8031,2.05629949740417e-4,1.5887948149143332e-4,1.073569810110084e-4
lignoceric acid,5289,2116,6362,7.54475757320198e-5,3.0230103662968516e-5,8.504608556743064e-5
levoglucosan,1001,1183,1290,1.4279263245935302e-5,1.6900856631990434e-5,1.724449078622847e-5
leucrose,6694,4467,5730,9.54898982700209e-5,6.381752035088864e-5,7.659762186441018e-5
leucine,11687,15486,38838,1.6671503452072515e-4,2.2123978512510892e-4,5.191794830663111e-4
lauric acid,4850,4632,2756,6.918524150128494e-5,6.61747826875568e-5,3.684171829988036e-5
lactic acid,43912,31813,54284,6.264046030524586e-4,4.544944649480234e-4,7.256588665423459e-4
kojic acid,155,173,127,2.2110747283915805e-6,2.4715538439005452e-006,1.6977134339930354e-6
itaconic acid,9750,13021,14296,1.3908373291495425e-4,1.8602371445912715e-4,1.9110638781389316e-4
isothreonic acid,2425,2094,2777,3.459262075064247e-5,2.991580201807943e-5,3.7122442568493376e-5
isomaltose,9471,5799,9222,1.351037984038494e-4,8.284705630508244e-5,1.232780573880612e-4
isoleucine,7442,10809,14125,1.0616011695929124e-4,1.544221127093699e-4,1.888204901980443e-4
