BinBase name,F_SAC_7_007,F_SAC_8_008,F_SAC_9_009,normF_SAC_7_007,normF_SAC_8_008,normF_SAC_9_009
zymosterol,6063,4624,6933,5.986917237964023e-5,4.456648052450584e-5,6.680475230487959e-5
xylose,7932664,6581889,6095668,0.07833119387197202,0.06343677074674724,0.05873641870370413
xylonic acid,2219,1849,2167,2.1911544369193742e-5,1.782080936198341e-5,2.088070074205597e-5
xylitol,43615,38501,44248,4.306768849312236e-4,3.7107570646064e-4,4.263632886176708e-4
vanillic acid,875,809,857,8.640198883751477e-6,7.79720647584888e-6,8.257849808925689e-6
valine,79387,188365,218846,7.839079643250039e-4,0.001815476882352626,0.0021087484239021605
uridine,3277,2999,3409,3.235877913377553e-5,2.8904601014920635e-5,3.2848319718352014e-5
uric acid,1000,1428,1697,9.874513010001686e-6,1.3763177809038567e-5,1.635189162864282e-5
urea,8796,14574,15425,8.685621643597484e-5,1.4046537352165834e-4,1.486316607965913e-4
UDP-glucuronic acid,87687,8014,89017,8.65866422308018e-4,7.723957070142513e-5,8.577468103163805e-4
tyrosol,22457,20209,22254,2.2175193866560787e-4,1.947759526210507e-4,2.1443429363807734e-4
tryptophan,40660,34815,37554,4.014976989866686e-4,3.355497446930516e-4,3.618614839257822e-4
trehalose,1145851,986344,1051479,0.011314720607023442,0.009506462081847576,0.010131803569707555
trans-phytol,5659,8081,11725,5.5879869123599544e-5,7.788532204120495e-5,1.1297933373355158e-4
tocopherol alpha-,530,698,530,5.233491895300894e-6,6.727379629347984e-6,5.106954957678664e-6
threose,2933,2540,2560,2.896194665833495e-5,2.448072243344395e-5,2.4667556021995057e-5
threonine,14265,37274,46027,1.4085992808767406e-4,3.592497826709409e-4,4.4350531290014315e-4
threonic acid,54488,48017,55713,5.380424648889719e-4,4.6279167286877095e-4,5.368373236927385e-4
tartaric acid,3431,3372,3563,3.3879454137315785e-5,3.2499604742351575e-5,3.433222738530015e-5
sucrose,10107,9014,10377,9.980170299208704e-5,8.687765039963141e-5,9.999032376571981e-5
succinic acid,159054,136228,157147,0.0015705807922928082,0.0013129763211272452,0.0015142314164798662
succinate semialdehyde,2623,2478,2593,2.5900847625234425e-5,2.3883161492155164e-5,2.4985536236341086e-5
stigmasterol,101,128,148,9.973258140101703e-7,1.2336742013704037e-006,1.4260930825215892e-6
squalene,2808,2873,4399,2.7727632532084738e-5,2.769020297294664e-5,4.238772614873291e-5
spermidine,479,684,651,4.729891731790808e-6,6.592446513573096e-6,6.2728824102807745e-6
sorbitol,647942,546890,647981,0.006398111708726513,0.0052709694061520325,0.006243792038550148
shikimic acid,19254,17143,18356,1.9012387349457249e-4,1.6522560026635026e-4,1.7687408528896143e-4
serine,13837,91889,136542,1.3663363651939334e-4,8.856335053884769e-4,0.0013156864977950191
salicylic acid,12554,12147,13456,1.2396463632756118e-4,1.1707375409411168e-4,1.2965884134061152e-4
saccharopine,410,379,374,4.048550334100692e-6,3.65283220562018e-6,3.6037757625883403e-6
saccharic acid,7557,6824,7529,7.462169481658274e-5,6.577025586055966e-5,7.25476676912503e-5
ribulose MassBank,39195,33812,36364,3.870315374270161e-4,3.2588275075575075e-4,3.5039492468118293e-4
ribose,247263,215669,241654,0.002441601710392047,0.00207863501043245,0.0023285209308356227
ribonic acid,74580,63619,56651,7.364411802859258e-4,6.131649923201854e-4,5.458756703914226e-4
ribitol,8035,11486,7413,7.934171203536356e-5,1.1070298341359734e-4,7.142991905900366e-5
resveratrol,147,128,157,1.451553412470248e-6,1.2336742013704037e-006,1.5128149591614156e-6
raffinose,476,482,504,4.700268192760803e-6,4.645554414535427e-6,4.856425091830277e-6
quinic acid,282083,249819,276193,0.002785432253400306,0.0024077754321261947,0.002661330586087063
pyrophosphate,549982,360197,439078,0.005430804414266748,0.0034716073930548073,0.004230852016806854
putrescine,122276,112152,121472,0.0012074159528109663,0.0010809299143132308,0.0011704755332436654
propyleneglycol,236898,86354,70401,0.0023392523830433796,8.322867342589051e-4,6.783674263689352e-4
proline,22463,152861,241535,2.218111857436679e-4,0.0014732865007475102,0.0023273742749111625
pipecolinic acid,19957,106228,127155,1.9706565614060367e-4,0.0010238339301810568,0.0012252355804596802
pinitol,7415,6998,7696,7.321951396916251e-5,6.744728172804755e-5,7.415684029112264e-5
phosphate,304628,220797,255999,0.003008053149210794,0.002128059083124852,0.0024667459664354345
phenylethylamine,10066,7841,10262,9.939684795867698e-5,7.557218291363544e-5,9.888221089754425e-5
phenylalanine,46328,41097,50848,4.5746643872735817e-4,3.960961613571835e-4,4.899593314868768e-4
pentono-gamma-lactone,48367,46366,53264,4.776005707547516e-4,4.468792032870324e-4,5.132393374826347e-4
pentitol,4895,3224,6181,4.8335741183958254e-5,3.107316894701705e-5,5.9558657723418536e-5
palmitoleic acid,1411,1837,2242,1.393293785711238e-5,1.7705152405604935e-5,2.160338304738786e-5
oxoproline,449282,408956,468534,0.0044364409541595776,0.003941550521059647,0.004514683083284935
oleic acid,44797,31220,54077,4.4234855930904554e-4,3.0090084817800005e-4,5.210732136724323e-4
oleamide NIST,4600,4939,4370,4.542275984600776e-5,4.760247562944082e-5,4.210828899067125e-5
nicotinic acid MassBank,524622,889619,823942,0.005180386764333105,0.008574218823038573,0.007939310720263536
N-acetylmannosamine,4382,3996,2615,4.327011600982739e-5,3.8513766474032296e-5,2.5197523045905107e-5
N-acetyl-D-galactosamine,2989,3855,4260,2.951491938689504e-5,3.715479723658521e-5,4.104835494285115e-5
myristic acid,11278,9242,11548,1.1136475772679903e-4,8.907513257082244e-5,1.1127380349296833e-4
mucic acid,72359,85617,89082,7.14509886890712e-4,8.25183469521327e-4,8.583731349810015e-4
montanic acid,2480,1793,2422,2.4488792264804183e-5,1.728107689888386e-5,2.3337820580184386e-5
methylmalonic acid,27570,44587,47088,2.722403236857465e-4,4.297330595039234e-4,4.5372885857957156e-4
methionine sulfoxide,9150,9334,10795,9.035179404151543e-5,8.996183590305741e-5,1.040180731474362e-4
methionine,834,5136,6895,8.235343850341407e-6,4.950117732998745e-5,6.643859327017809e-5
melezitose,287,486,425,2.8339852338704843e-6,4.684106733328252e-6,4.095199730214023e-6
mannoheptulose,3411,16549,17489,3.3681963877115755e-5,1.5950058092561572e-4,1.6851987783932484e-4
mannitol,1865381,1580755,1733423,0.018419728953109955,0.015235442673338068,0.016702855063404194
maltose,11631,9603,10677,1.1485046081932962e-4,9.25544793418749e-5,1.0288105298704736e-4
malonic acid,3797,2892,3132,3.749352589897641e-5,2.7873326487212563e-5,3.017921307065958e-5
malic acid,1053566,870299,1007645,0.010403451173895437,0.008388011123269227,0.009709429487415317
maleic acid,4248,2961,3969,4.1946931266487165e-5,2.8538353986388796e-5,3.824434759816343e-5
lyxose,2215961,2138912,390133,0.021881535724156347,0.02061500432344979,0.003759229544347265
lysine,265348,235838,268646,0.0026201822781779277,0.0022730254398655725,0.0025886094746425327
loganin,717,820,747,7.080025828171209e-6,7.90322535252915e-6,7.1979157611055895e-6
linolenic acid,3669,2510,3089,3.622958823369619e-5,2.4191580042497763e-5,2.976487521560263e-5
linoleic acid,23904,15383,22612,2.3604035899108032e-4,1.4826257999750721e-4,2.1788389717552822e-4
lignoceric acid,10623,10929,9486,1.0489695170524791e-4,1.0533457302169644e-4,9.140485797837699e-5
levoglucosan,3755,2924,2784,3.707879635255633e-5,2.8181745037555162e-5,2.6825967173919625e-5
leucrose,4929,4762,4919,4.8671474626298315e-5,4.5896535522858306e-5,4.739832346570066e-5
leucine,192867,274948,374094,0.0019044677006999954,0.0026499707368624202,0.003604681524411023
lauric acid,10139,5048,5176,1.0011768740840711e-4,4.86530263165453e-5,4.9874714831971255e-5
lactic acid,98794,89485,84254,9.755426383101066e-4,8.62463561793989e-4,8.118516660457701e-4
kojic acid,147753,133904,138059,0.0014589889207667793,0.0012905774239086137,0.0013303039518908655
itaconic acid,40939,42419,26950,4.0425268811645907e-4,4.088377027182122e-4,2.596838417159245e-4
isothreonic acid,11737,9638,11262,1.158971591983898e-4,9.289181213131213e-5,1.0851797496863608e-4
isomaltose,3459,3655,3679,3.4155940501595834e-5,3.5227181296943956e-5,3.5449976017546805e-5
isoleucine,87502,123208,145544,8.640396374011676e-4,0.0011874885234565995,0.0014024276459629877
isocitric acid,133365,119737,130097,0.001316914427578875,0.0011540347488241253,0.0012535839983568325
indole-3-propionic acid,37557,33806,39485,3.7085708511663335e-4,3.258249222775615e-4,3.8046814434706047e-4
homoserine,14818,23030,31527,1.46320533782205e-4,2.2196497544969064e-4,3.037867338693118e-4
histidine,18755,19665,23288,1.8519649150258163e-4,1.895328372652265e-4,2.2439767368758628e-4
hexadecylglycerol NIST,3071,3288,3315,3.032462945371518e-5,3.169000604770225e-5,3.194255789566938e-5
heptadecanoic acid,10561,7070,11569,1.0428473189862781e-4,6.81412234663184e-5,1.1147615453846125e-4
guanosine,2480,2235,2403,2.4488792264804183e-5,2.1541108125491036e-5,2.3154741062833642e-5
guanine,5706,5326,5905,5.634397123506962e-5,5.133241247264665e-5,5.689918683979719e-5
glycolic acid,38972,26802,27450,3.848295210257857e-4,2.583198120713247e-4,2.645017237514704e-4
glycine,28256,29359,2922,2.790142396106077e-4,2.8296438185963817e-4,2.8155702615730297e-5
glycerol-alpha-phosphate,6276,4609,4559,6.197244365077059e-5,4.442190932903275e-5,4.3929448400107605e-5
glycerol-3-galactoside,103033,91804,104201,0.001017400698959504,8.848142686141294e-4,0.0010040562519718387
glycerol,2942866,2616743,185007,0.029059368603691623,0.025220377583723395,0.0017826838035004842
glyceric acid,130261,95247,124522,0.0012862639391958298,9.179981770150536e-4,0.0011998646136604956
glutaric acid,1686,1128,1931,1.6648428934862845e-5,1.0871753899576684e-5,1.8606660421278304e-5
glutamine,5308,5296,5836,5.2413915057088954e-5,5.104327008170046e-5,5.623431911889186e-5
glutamic acid,23187,37894,62040,2.289603331629091e-4,3.652253920838288e-4,5.978028029705365e-4
glucose,4677259,2047855,2173237,0.04618565484664748,0.01973738970037022,0.020940799002567373
gluconic acid lactone,2280365,5575680,5644554,0.022517493860052498,0.05373884821169479,0.05438959063053762
gluconic acid,952113,670938,834566,0.009401652205491736,0.006466553916555125,0.008041681077754815
glucoheptulose,36110,1826,3348,3.565686647911609e-4,1.7599133528924668e-5,3.226053811001541e-5
galacturonic acid,3581095,3375526,3677790,0.03536156916755199,0.03253358861136745,0.03543831674302078
galactonic acid,767265,560683,675614,0.007576368224618944,0.005403907439429392,0.006510057107126628
galactinol,18928,15704,16881,1.8690478225331193e-4,1.5135640358063143e-4,1.62661333284101e-4
fumaric acid,2073,1892,1949,2.0469865469733498e-5,1.823524678900628e-5,1.8780104174557957e-5
fucose,162913,127771,185388,0.0016086865379984047,0.0012314670811195145,0.0017863550296115702
fructose,6600195,7534864,7187253,0.06517371139604808,0.07262161974714536,0.06925467422724689
flavin adenine,41505,32328,42746,4.0984166248012e-4,3.1157984048361265e-4,4.1189037098289093e-4
ethanolamine,244784,320040,356764,0.0024171227926402528,0.003084571026613938,0.003437693733059002
ethanol phosphate NIST,1227,976,1000,1.211602746327207e-5,9.406765785449329e-6,9.635764071091819e-6
erythrose major,3386,2757,2838,3.3435101051865715e-5,2.6572185727954713e-5,2.7346298433758583e-5
erythronic acid lactone,8562,7830,8787,8.454558039163445e-5,7.546616403695517e-5,8.466945889268382e-5
erythritol,44060,39149,8884,4.350710432206743e-4,3.7732118210507767e-4,8.560412800757972e-5
dihydroxyacetone,68244,53750,55139,6.738762658545551e-4,5.180467837785876e-4,5.313063951159318e-4
digitoxose,29656,20667,23309,2.9283855782461003e-4,1.991901931228292e-4,2.2460002473307923e-4
digalacturonic acid,82594,82316,99281,8.155755275480794e-4,7.933681684375481e-4,9.56648292742067e-4
dehydroascorbic acid,48685,58331,64102,4.8074066589193215e-4,5.621988268760705e-4,6.176717484851278e-4
dehydroabietic acid,4110,3565,4187,4.058424847110693e-5,3.435975412410539e-5,4.0344944165661444e-5
conduritol-beta-epoxide,67219,64143,85820,6.637548900193034e-4,6.182153460820454e-4,8.269412725810999e-4
citric acid,1281448,2934799,5540025,0.012653674947640641,0.028285826660216094,0.05338237384795046
citramalic acid,10525,9644,10678,1.0392924943026775e-4,9.294964060950137e-5,1.0289068875111845e-4
cis-p-coumaric acid HMDB,4020,4772,3205,3.969554230020678e-5,4.599291631984037e-5,3.088262384784928e-5
cinnamic acid,11311,11686,12814,1.1169061665612908e-4,1.1263059935323859e-4,1.2347268080697057e-4
chlorogenic acid,231,276,173,2.2810125053103895e-6,2.6601099967049334e-6,1.6669871842988847e-6
cerotinic acid,882,755,555,8.709320474821487e-6,7.276750172145742e-6,5.3478490594559596e-006
cellobiose,32505,34586,38346,3.2097104539010484e-4,3.333426244421624e-4,3.694930090700869e-4
catechin,43978,40367,42602,4.342613331538542e-4,3.890603631774929e-4,4.105028209566537e-4
caproic acid HMDB,7834,9091,10224,7.735693492035322e-5,8.76197825363933e-5,9.851605186284276e-5
