BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
zymosterol,5483,3091,5519,5.588856006636499e-5,3.3867463369067765e-5,5.531105986984773e-5
xylose,6890227,7111596,6408953,0.07023251241298374,0.07792032255762174,0.06423011108643599
xylonic acid,1967,2052,1902,2.0049753355925576e-5,2.2483349994605968e-5,1.9061720578447252e-5
xylitol,39001,39704,33128,3.975396190312422e-4,4.350287174394909e-4,3.320066663106207e-4
vanillic acid,370,420,732,3.7714330156036927e-6,4.601855262053853e-6,7.336056500222602e-6
valine,110777,191730,68179,0.0011291568518095412,0.002100746927127584,6.832855138369902e-4
uridine,3303,2606,2858,3.366768446091621e-5,2.855341622121986e-5,2.864269054321885e-5
uric acid,1410,1369,1301,1.437221770811137e-5,1.4999856794646965e-5,1.3038537577581428e-5
urea,15699,13749,10808,1.6002088354584424e-4,1.5064501904280578e-4,1.0831707466448892e-4
UDP-glucuronic acid,5586,79514,15628,5.6938445473411424e-5,8.712188554927383e-4,1.5662280189273064e-4
tyrosol,19970,19763,18986,2.0355545222055604e-4,2.1653920367611977e-4,1.9027645999074636e-4
tryptophan,34090,27630,32719,3.4748149054575643e-4,3.027363354536856e-4,3.279076948507969e-4
trehalose,965143,1068808,969747,0.009837762635077824,0.011710713616488701,0.00971874150672318
trans-phytol,8127,11564,6276,8.283901653462489e-5,1.2670441488188275e-4,6.289766474781017e-5
tocopherol alpha-,608,543,642,6.1973818202352565e-6,5.949541445941053e-6,6.434082340359167e-6
threose,2482,2729,2652,2.5299180391157743e-5,2.990110240510706e-5,2.6578171910642543e-5
threonine,18836,38696,11521,1.9199651968084095e-4,4.239842648105617e-4,1.1546271439762923e-4
threonic acid,49326,51900,47448,5.027829862909939e-4,5.686578288109404e-4,4.755207770800028e-4
tartaric acid,3344,3336,3162,3.4085600011293915e-5,3.655187893859918e-5,3.1689358816535337e-5
sucrose,10369,11349,7772,1.056918619967424e-4,1.243487032596409e-4,7.789047967176238e-5
succinic acid,141578,141207,133505,0.001443113360765242,0.0015471766094972343,0.0013379784468063095
succinate semialdehyde,680,1590,2482,6.931282298947327e-6,1.742130920634673e-5,2.487444294201161e-5
stigmasterol,141,111,101,1.437221770811137e-6,1.2162046049713756e-6,1.0122154460689656e-6
squalene,3607,2287,3148,3.676637537103384e-5,2.505819758170753e-5,3.1549051725001024e-5
spermidine,503,787,464,5.127110288780155e-6,8.623000217229482e-6,4.650177890851486e-6
sorbitol,596551,633582,540284,0.0060806814510578336,0.006942030144387153,0.005414691188751733
shikimic acid,17486,17190,16799,1.7823588570498963e-4,1.883473617969184e-4,1.6835848790606488e-4
serine,25698,96226,13471,2.6194131252698294e-4,0.0010543288677295098,1.35005487861337e-4
salicylic acid,11486,7251,10417,1.1707751247898381e-4,7.944774405988688e-5,1.0439849803663777e-4
saccharopine,379,335,334,3.863170575442701e-6,3.670527411400097e-6,3.3473263266043022e-6
saccharic acid,6857,8141,7013,6.989382753512032e-5,8.919929449614386e-5,7.028383092358075e-5
ribulose MassBank,32960,33829,32110,3.3596333025485867e-4,3.706575277619519e-4,3.218043363690543e-4
