BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
zymosterol,5556,3443,2199,5.3936351843015626e-5,3.246986441987905e-5,1.8221273125076362e-5
xylose,6782117,7212294,4807192,0.06583920963867848,0.06801690628414381,0.03983317798848662
xylonic acid,4194,3229,3658,4.071437358344268e-5,3.0451696837580437e-5,3.031078539860361e-5
xylitol,50720,38114,42924,4.923779275517913e-4,3.594413048211647e-4,3.556752740431004e-4
vanillic acid,541,371,557,5.251901790329635e-6,3.498785855293386e-6,4.615392965287646e-6
valine,291046,72600,95954,0.002825406669996819,6.846680676396221e-4,7.950905145264108e-4
uridine,3797,3040,2864,3.686039019941151e-5,2.866929649620456e-5,2.3731571728157662e-5
uric acid,2999,1984,2439,2.9113592364507534e-5,1.871048823962824e-5,2.0209952320173372e-5
urea,18531,13765,20475,1.7989462491053323e-4,1.2981344285205784e-4,1.6965919383171374e-4
UDP-glucuronic acid,13174,13634,14475,1.278901186428884e-4,1.285780225096227e-4,1.1994221395428847e-4
tyrosol,28570,21667,26294,2.773508949162989e-4,2.0433475236291586e-4,2.1787637814950334e-4
tryptophan,62726,37831,51841,6.089293746769256e-4,3.5677241965391935e-4,4.2956299230426727e-4
trehalose,1232134,1037594,1063640,0.011961269427959362,0.009785226983119368,0.008813494746137436
trans-phytol,8456,5468,6041,8.208887530319297e-5,5.1567010934620576e-5,5.0056712573254346e-5
tocopherol alpha-,187,260,304,1.8153523748459183e-6,2.4519793055964427e-6,2.5189936471228806e-6
threose,522,434,491,5.067454222831921e-6,4.0929193024186775e-6,4.068506186635968e-6
threonine,52305,15701,17642,5.077647377877848e-4,1.4807125798911442e-4,1.4618449316625612e-4
threonic acid,62339,47011,51894,6.051724689599984e-4,4.4334615052074757e-4,4.3000215895985116e-4
tartaric acid,2936,1988,2881,2.850200306175196e-5,1.874821099817588e-5,2.3872436504477035e-5
sucrose,143,889,102,1.3882106395880552e-6,8.383883087212453e-6,8.451886579162296e-7
succinic acid,172891,137720,136177,0.0016783854943288005,0.001298794576795162,0.001128384861461357
succinate semialdehyde,1660,1578,2016,1.6114892739273926e-5,1.4881628247043025e-5,1.6704905238814892e-5
stigmasterol,124,119,192,1.2037630720903415e-6,1.122252066792218e-6,1.5909433560776088e-6
squalene,2782,3094,3460,2.7007006988349438e-5,2.917855373659767e-5,2.8670125062648573e-5
spermidine,486,341,401,4.717974621257306e-6,3.2158651661861038e-6,3.322751488474589e-6
sorbitol,153248,1315664,1495978,0.0014876958328362956,0.012407618850454763,0.012395918020511817
shikimic acid,16579,11953,16982,1.6094506429182074e-4,1.12725033229978e-4,1.4071562537973934e-4
serine,120690,17890,21914,0.0011716303642788977,1.687150376043091e-4,1.815829828389829e-4
salicylic acid,3906,3234,3535,3.791853677084576e-5,3.0498850285764986e-5,2.9291587311116388e-5
saccharopine,150,135,124,1.456165006560897e-6,1.2731431009827685e-6,1.0274842508001223e-6
saccharic acid,13408,8871,7670,1.3016173605312337e-4,8.365964776902324e-5,6.355487260997531e-5
ribulose MassBank,42668,29383,36604,4.1421098999960235e-4,2.771019536013088e-4,3.033067219055458e-4
ribose,343072,251950,269524,0.0033304629408724006,0.002376062254019322,0.002233319880747195
ribonic acid,29606,23811,26044,2.8740814122827946e-4,2.245541509444496e-4,2.158048373212773e-4
ribitol,9078,7544,7431,8.812710619706548e-5,7.114512262084448e-5,6.15744795781912e-5
resveratrol,283,252,461,2.7472979790448922e-6,2.3765337885011676e-6,3.819921287248842e-6
raffinose,522,559,559,5.067454222831921e-6,5.271755507032352e-6,4.631965291913454e-6
quinic acid,233520,175388,190142,0.0022669576822140045,0.001654029794038265,0.0015755476646422326
pyrophosphate,55728,34638,42927,5.409944232375044e-4,3.266602276432676e-4,3.557001325330391e-4
putrescine,153016,120916,122682,0.0014854436309594814,0.0011403212681365365,0.0010165630875537146
propyleneglycol,52990,227097,230988,5.144145579844129e-4,0.002141681324473213,0.001914004291321118
proline,216516,21047,22494,0.002101886817070261,1.9848772478803204e-4,1.8638895756046734e-4
pipecolinic acid,123106,18684,21989,0.0011950843286512387,1.7620300517601515e-4,1.8220444508745072e-4
pinitol,4860,3617,4135,4.7179746212573066e-5,3.4110804416701283e-005,3.426328529885892e-5
phosphate,213899,209188,241544,0.0020764815915891286,0.0019727871037658025,0.002001473031252135
phenylethylamine,12736,9780,15912,1.2363811682373056e-4,9.223214464897389e-5,1.318494306349318e-4
phenylalanine,72118,50053,56908,7.001047196210585e-4,4.7203430839622596e-4,4.715489818107529e-4
pentono-gamma-lactone,10117,6978,7831,9.82134758091773e-5,6.580735228635376e-5,6.488894490335289e-5
pentitol,8648,6257,8186,8.395276651159092e-5,5.9007825058142086e-5,6.783053287943388e-5
