BinBase name,F_SF_10_010,F_SF_11_011,F_SF_12_012,normF_SF_10_010,normF_SF_11_011,normF_SF_12_012
zymosterol,7168,4984,3415,7.052081273032897e-5,5.911390463055559e-5,3.515771250518242e-5
xylose,4969188,6309778,5839132,0.048888277953375824,0.07483860652728286,0.060114355530252066
xylonic acid,2902,3207,2660,2.8550697341436195e-5,3.8037378039765604e-5,2.738492394254326e-5
xylitol,35478,41040,34560,3.490426051962348e-4,4.867645758503213e-4,3.557981095692838e-4
vanillic acid,580,449,345,5.706204155076842e-6,5.325470140272765e-6,3.5518040451794827e-6
valine,215204,88952,176104,0.002117237860326132,0.0010550361245379577,0.0018130055060066308
uridine,3511,2550,1530,3.454221170426688e-5,3.0244874961460022e-5,1.5751478809056838e-5
uric acid,2801,2142,1852,2.7557030755810747e-5,2.540569496762642e-5,1.9066495917891022e-5
urea,26043,9196,35624,2.562184048459762e-4,1.0907132162572014e-4,3.6675207914630114e-4
UDP-glucuronic acid,29724,13110,16788,2.9243312466466215e-4,1.5549423950774152e-4,1.7283387336369032e-4
tyrosol,24286,23149,17175,2.3893254156930375e-4,2.74564160973662e-4,1.768180709448047e-4
tryptophan,58455,45997,38130,5.750968342845117e-4,5.455582406283438e-4,3.925515601237498e-4
trehalose,884670,1006833,799818,0.008703633844606602,0.011941779683165364,0.008234193645818445
trans-phytol,10650,13301,4224,1.04777714226842e-4,1.5775963994603127e-4,4.348643561402358e-5
tocopherol alpha-,347,257,258,3.4138842100201104e-6,3.04820896670401e-6,2.6561317207429175e-6
threose,404,416,344,3.9746663425018e-6,4.934065876065635e-6,3.541508960990557e-6
threonine,41701,16280,33646,4.102662404669989e-4,1.93092770342184e-4,3.4638840262060547e-4
threonic acid,47599,47568,38524,4.682924337543148e-4,5.64191455751659e-4,3.9660782329418667e-4
tartaric acid,1090,2539,2073,1.0723728498334064e-5,3.011440687339098e-5,2.1341709523643677e-5
sucrose,766,791,1297,7.536124797911828e-6,9.38184160569211e-6,1.335272419303707e-5
succinic acid,138404,140171,108125,0.0013616577239297502,0.00166253112479326,0.0011131559779276278
succinate semialdehyde,1762,935,1259,1.7335054691802403e-5,1.1089787485868676e-5,1.296151099385788e-5
stigmasterol,154,160,170,1.5150955860031613e-6,1.897717644640629e-6,1.7501643121174262e-6
squalene,3551,3020,690,3.4935743025306664e-5,3.581942054259187e-5,7.103608090358965e-6
spermidine,256,436,310,2.5186004546546058e-6,5.171280581645714e-6,3.1914760985670714e-6
sorbitol,1262441,1307419,1119731,0.01242025186161959,0.01550695065774004,0.01152772491395034
shikimic acid,13022,13515,13715,1.281141215645011e-4,1.6029783729573811e-4,1.411970796511206e-4
serine,105753,21150,79373,0.0010404279448480022,2.508545511509331e-4,8.171517173276263e-4
salicylic acid,4816,3232,3305,4.738117105318977e-5,3.8333896421740704e-5,3.4025253244400555e-5
