BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
zymostenol,1798,1249,NA,7.331362156487151e-6,5.194036261625628e-6,NA
xylulose,131334,52601,128053,5.355156381869207e-4,2.1874419647539603e-4,5.255630807566851e-4
xylose,8236,17817,NA,3.358236858777985e-5,7.409298965042738e-5,NA
xanthosine,4517,10819,NA,1.8418110601141522e-5,4.499141578424953e-5,NA
xanthine,254406,262375,40181,0.0010373428925379699,0.0010911010921889704,1.649133573433216e-4
valine,2544249,3123656,1718698,0.010374199574683135,0.012989897944631274,0.007053987144154008
uridine-5'-monophosphate,5255,4099,NA,2.1427312643125683e-5,1.704592044547914e-5,NA
uridine,193425,158567,134446,7.886922831582464e-4,6.594097260986316e-4,5.518016286647973e-4
uric acid,1266316,1003081,1203374,0.005163415573166953,0.004171368364569813,0.004938962357324664
urea,218628,294911,285338,8.914577561448681e-4,0.0012264038654541836,0.0011711019526051791
uracil,384487,358586,442279,0.0015677494112687849,0.001491199909456595,0.0018152289582749792
undecanoic acid,23195,28059,23377,9.457783382631783e-5,1.1668491870692833e-4,9.594533621897985e-5
UDP-N-acetylglucosamine,23938,22890,NA,9.76074234160119e-5,9.518934349768665e-5,NA
UDP-glucuronic acid,2095,1926,NA,8.542382490456385e-6,8.009378574772585e-6,NA
tyrosine,12845390,6247150,5469210,0.05237720029550527,0.025979122203214203,0.022447071578996742
tryptophan,4080468,4655776,3611143,0.016638147205760182,0.019361304539636765,0.014821077523626451
trisaccharide,814,858,NA,3.3190927671749392e-6,3.5680409227180052e-6,NA
tridecanoic acid,1950390,3197768,3191778,0.007952733835590085,0.013298096836081713,0.013099893628196222
tocopherol gamma-,1971,631,NA,8.036771307250375e-6,2.6240487438637077e-6,NA
tocopherol alpha-,23080,44645,18464,9.410892022898968e-5,1.856587261011018e-4,7.578109628896968e-5
thymine,3385,3607,NA,1.3802369799615686e-5,1.4999910965319166e-5,NA
threonine,1711372,1917864,1704692,0.0069781356598841646,0.007975544564344574,0.006996502848517996
terephthalic acid,2148,2910,NA,8.758490496181535e-6,1.2101397535092535e-5,NA
tagatose,1323,1862,NA,5.394545124044772e-6,7.74323100011763e-6,NA
sucrose,17142,17140,19232,6.989666856868895e-5,7.127764733728043e-5,7.893316961814692e-5
succinic acid,323160,415078,480613,0.0013176879835875349,0.0017261250467598417,0.0019725617434321156
stigmasterol,5956,6477,NA,2.4285646832056435e-5,2.6934966266252355e-5,NA
stearic acid,756981,728914,846931,0.003086597250600556,0.0030312295817506666,0.00347602684473101
squalene,9426,1075,NA,3.8434604942740756e-5,4.470447543032466e-6,NA
spermidine,100174,38628,45153,4.0846044085870065e-4,1.6063669552768194e-4,1.8531974874002642e-4
sorbitol,4043873,2561498,4227083,0.01648893074407128,0.010652132502867511,0.017349056750675194
sophorose,73843,71632,26599,3.010955371087212e-4,2.978856729325596e-4,1.0916926885779377e-4
shikimic acid,33055,25079,7112,1.347820779102796e-4,1.0429242226205694e-4,2.9189512392068473e-5
serine,9980056,10885950,10466713,0.04069377356953422,0.04526983109867374,0.042958133973245806
salicyl alcohol,745,665,NA,3.037744608778046e-6,2.7654396428991533e-6,NA
saccharic acid,23083,20154,6081,9.412115275761563e-5,8.381153468118727e-5,2.4958018118133913e-5
ribulose-5-phosphate,2483,5990,NA,1.012445619274616e-5,2.49097495653623e-5,NA
ribose-5-phosphate,2205,2319,NA,8.99090854007462e-6,9.643691025388175e-6,NA
ribonic acid,13959,5285,NA,5.6917955696554024e-5,2.1977967688303796e-5,NA
ribitol,967225,1329795,2118275,0.003943869166745431,0.005530026781848239,0.008693955900212155
quinic acid,109700,72959,41212,4.473027967556398e-4,3.03404076550796e-4,1.6914485161725619e-4
pyrophosphate,343917,255040,255353,0.0014023248491504957,0.0010605980850000001,0.0010480356521164033
putrescine,203084,120448,182420,8.280769478242694e-4,5.008897355006273e-4,7.486995009225437e-4
pseudo-uridine,53719,41456,67484,2.1903973508583606e-4,1.723970914827478e-4,2.769720267528612e-4
prunin,14307,3104,NA,5.833692901716444e-5,1.2908157370765371e-5,NA
propyleneglycol,168637,487370,511851,6.876189766315482e-4,0.0020267553665560306,0.0021007706843915413
proline,1617112,1784814,689113,0.006593789610456757,0.007422248707972044,0.00282830040115797
pipecolinic acid,3044,5555,NA,1.2411939045799158e-5,2.3100777768879394e-5,NA
phthalic acid,106796,97400,146886,4.354617090457184e-4,4.050433401780113e-4,6.028586497780329e-4
phosphoinositol,16737,19661,NA,6.824527720418545e-5,8.17613666451733e-5,NA
phosphoethanolamine,635745,412446,358125,0.002592256303768589,0.0017151797277521566,0.0014698388815255234
phosphate,1722227,144295,1610007,0.0070223970259624,6.000588169505764e-4,0.006607890787094627
