BinBase name,L1_PF_907,L2_PF_907,L3_PF_907,normL1_PF_907,normL2_PF_907,normL3_PF_907
zymostenol,2328,2251,1252,8.1266434329840645e-006,8.673920913470302e-6,4.968655384345119e-6
xylulose,325800,423005,365357,0.001137311181471739,0.0016299919662383408,0.001449946505797268
xylose,27500,29258,42665,9.599772096523271e-5,1.1274170505833589e-4,1.6931923480278314e-4
xanthosine,34668,31198,31367,1.2101996328809774e-4,1.2021722996821257e-4,1.2448227910603302e-4
xanthine,684375,594548,630204,0.0023890341922029506,0.002291009476349152,0.002501011579741079
valine,944660,1235003,1424616,0.003297643894073336,0.004758915304264133,0.005653694855450643
uridine-5'-monophosphate,18317,3966,13581,6.394146381527883e-5,1.5282439068335502e-5,5.3897211481462505e-5
uridine,147721,244936,247462,5.156683395892779e-4,9.438274068688414e-4,9.820714047290829e-4
uric acid,2326772,1583559,731019,0.008122356698389689,0.006102028222040923,0.002901103426843917
urea,30622,72276,240932,1.0689608041444932e-4,2.7850568988981765e-4,9.561566126685607e-4
uracil,107243,426579,240941,3.7436667598088916e-4,0.0016437638868712786,9.56192329839854e-4
undecanoic acid,23794,19987,6233,8.306071900533626e-5,7.701717338850775e-5,2.4736125407845944e-5
UDP-N-acetylglucosamine,48315,54505,47960,1.6865926867037158e-4,2.1002756969733399e-4,1.9033283724695837e-4
UDP-glucuronic acid,2860,3488,2268,9.983762980384202e-6,1.3440531384355582e-5,9.000727165890358e-6
tyrosine,952163,6339322,7678278,0.0033238355631788684,0.024427711094190306,0.030471818951436636
tryptophan,2408041,2781772,2840921,0.008406052654212362,0.010719178288452293,0.011274406887499295
trisaccharide,2340,2254,1406,8.168533347587075e-6,8.685481003537121e-6,5.579815870917921e-6
tridecanoic acid,926506,868312,593344,0.0032342714349314146,0.0033459216420334186,0.00235472992042242
tocopherol gamma-,3577,5630,4182,1.248668537791409e-5,2.1694435692064772e-5,1.6596578927580898e-5
tocopherol alpha-,19055,16009,11697,6.651769356336398e-5,6.168849395990496e-5,4.6420416957416015e-5
thymine,2117,2930,4804,7.39007910121446e-6,1.1290354631927137e-5,1.9065032321400918e-5
threonine,1110509,1544520,1344581,0.0038765939313228953,0.005951596770001399,0.005336069988289252
terephthalic acid,6122,2891,2971,2.137083809996926e-5,1.1140073461058481e-5,1.179063510134932e-5
tagatose,1254,1304,1787,4.377496076014612e-6,5.024785815710917e-6,7.091842788997386e-6
sucrose,7448,6975,7346,2.599967366360194e-5,2.6877209405355557e-5,2.9153148924440288e-5
succinic acid,1235073,1073867,1071424,0.004311425208207013,0.004137999746595119,0.004252026059518039
stigmasterol,9083,11024,14129,3.1707174528262136e-5,4.24794776322064e-5,5.6071990355760527e-005
stearic acid,1623100,1552148,1695542,0.005665960032678881,0.005980990225677966,0.0067288848943157275
squalene,2229,6721,5948,7.781051637509226e-6,2.5898455113031498e-5,2.3605081650227447e-5
spermidine,96273,233754,144490,3.3607231238130364e-4,9.007390978264491e-4,5.734193422396375e-4
sorbitol,9342328,296214,1182589,0.03261244350944293,0.0011414201730176332,0.0046931926536080745
sophorose,151645,161648,108852,5.293663416644624e-4,6.228884797070845e-4,4.319872810676796e-4
shikimic acid,32911,28289,34759,1.148865816249736e-4,1.0900779596675317e-4,1.379436841089872e-4
serine,4622277,5117684,5814083,0.016135565733455016,0.019720295991173857,0.023073622047108163
salicyl alcohol,1493,942,1023,5.211803541857907e-6,3.6298682809813524e-6,4.0598518036621854e-6
saccharic acid,97848,79699,54242,3.4157036367294877e-4,3.0710920607848497e-4,2.1526342280962294e-4
ribulose-5-phosphate,32081,19202,11864,1.1198919586493204e-4,7.399228315435662e-5,4.7083168913634575e-5
