BinBase name,L1_SAC_440,L2_SAC_440,L3_SAC_440,normL1_SAC_440,normL2_SAC_440,normL3_SAC_440
zymostenol,4690,281,1863,1.8662355718204287e-5,1.1886981289256915e-6,7.6268120228688095e-6
xylulose,119580,73649,180106,4.7583038310935365e-4,3.115531263247269e-4,7.373239968818088e-4
xylose,20381,45640,20014,8.109967417755257e-5,1.9306826549526178e-4,8.19339859504543e-5
xanthosine,5545,1331,3306,2.2064554894977136e-5,5.630452703203186e-6,1.3534213927860592e-5
xanthine,277952,94633,174385,0.001106021129336102,4.0032053393104967e-4,7.139031747761554e-4
valine,3106705,3012833,3895535,0.012362139407574382,0.01274501405646113,0.01594767212748591
uridine-5'-monophosphate,9535,4301,3656,3.794148438658377e-5,1.8194272784730956e-5,1.4967055692758115e-5
uridine,144289,135412,197197,5.741519497279271e-4,5.728255908686325e-4,8.072917071785618e-4
uric acid,901142,185412,330988,0.0035858065152695197,7.84337713453275e-4,0.0013550098002282885
urea,100841,17220,126720,4.012645230233344e-4,7.284477501815092e-5,5.187705955651828e-4
uracil,348132,182410,428550,0.0013852800044541352,7.716385256132932e-4,0.0017544123952766657
undecanoic acid,55386,47381,29521,2.2039088140905387e-4,2.00433117603659e-4,1.2085406211868498e-4
UDP-N-acetylglucosamine,12870,18810,24049,5.121205076615973e-5,7.957086051634255e-5,9.845260458291573e-5
UDP-glucuronic acid,13860,9472,4189,5.515143928663356e-5,4.0068856502434694e-5,1.714906900901634e-5
tyrosine,2005905,2858612,434262,0.007981857707233383,0.012092621835318607,0.0017777963728797933
tryptophan,3926647,4154438,4969038,0.015624836480558572,0.017574279990525948,0.02034241479360815
trisaccharide,847,298,394,3.370365734183162e-6,1.2606122506044698e-6,1.6129704439132105e-6
tridecanoic acid,2883213,3723129,2987790,0.011472824438667576,0.015749738348928757,0.012231515133551906
tocopherol gamma-,1523,760,683,6.060291633011754e-6,3.2149842632865677e-6,2.7960883583571643e-6
tocopherol alpha-,17526,4660,13912,6.973911435335786e-5,1.9712929824888692e-5,5.69534132378695e-5
