BinBase name,L1_SAT_907,L2_SAT_907,L3_SAT_907,normL1_SAT_907,normL2_SAT_907,normL3_SAT_907
zymostenol,838,797,941,3.2429295013712233e-6,2.9837743585820134e-6,3.86571525649181e-6
xylulose,261589,261342,218587,0.0010123086937162255,9.784009515941537e-4,8.979756650061373e-4
xylose,12185,30164,23392,4.7154052475188965e-5,1.1292668726758827e-4,9.609650507954985e-5
xanthosine,11156,18409,8341,4.317198271753862e-5,6.89188232962814e-5,3.426560143931794e-5
xanthine,466731,604097,303232,0.0018061762877141913,0.0022615923948510895,0.0012457051739176667
valine,2244586,1987930,2445311,0.008686198278955642,0.0074423269267954095,0.010045564335353075
uridine-5'-monophosphate,4186,2634,2092,1.6199168129761265e-5,9.8610560357654e-6,8.594129985739496e-6
uridine,129934,192985,104856,5.028243458605829e-4,7.224889518079672e-4,4.3075817102519146e-4
uric acid,1501309,1114566,1041203,0.005809832036723305,0.004172664305831016,0.004277358472056367
urea,183851,241894,98698,7.114747395663494e-4,9.055923647363081e-4,4.0546053600980724e-4
uracil,608811,628924,538859,0.0023560037621232887,0.0023545386508115862,0.0022136827389988524
undecanoic acid,25339,24103,19393,9.805798405160551e-5,9.023577586562392e-5,7.96682422626415e-5
UDP-N-acetylglucosamine,36752,55690,25563,1.422245167474883e-4,2.0848982939702926e-4,1.0501517439075465e-4
UDP-glucuronic acid,5165,6507,5517,1.9987745673725976e-5,2.4360627040518393e-5,2.2664347577115105e-5
tyrosine,3361821,288261,6417435,0.013009723746097025,0.0010791791472762984,0.02636341805211957
tryptophan,4664804,4468705,3653752,0.01805206504739199,0.016729745790548603,0.015009952018955858
trisaccharide,1625,1587,710,6.2884969447831e-6,5.94134241790421e-6,2.9167458364603453e-6
tridecanoic acid,1236213,946051,892488,0.00478395179913917,0.003541785088721295,0.003666423462099747
tocopherol gamma-,1098,900,1291,4.249089012536519e-6,3.3693813334050336e-6,5.303547711084937e-6
tocopherol alpha-,4074,6020,3048,1.5765745571105446e-5,2.2537417363442558e-5,1.252146663314244e-5
thymine,4369,3539,3849,1.6907349631850685e-5,1.3249156154356017e-5,1.5812048907797e-5
threonine,1856090,1822960,1704681,0.007182779257995362,0.0068247193283822675,0.007002987618652193
terephthalic acid,2189,2745,5565,8.471089115157049e-6,1.0276613066885353e-5,2.2861536028030732e-5
tagatose,2125,2441,956,8.223419081639438e-6,9.138510927601876e-6,3.927336647402944e-6
sucrose,8735,20165,12951,3.380308973088023e-5,7.549286065345833e-5,5.320390891267314e-5
succinic acid,461207,534841,269355,0.0017847992679462027,0.0020023147574885353,0.0011065353165912342
stigmasterol,184,128,978,7.120513463631326e-7,4.792009007509381e-7,4.01771468740594e-6
stearic acid,1326084,1791521,1118797,0.005131738573862002,0.006707019350892355,0.004596121819146936
squalene,2397,3908,2757,9.276016724089286e-6,1.463060250105208e-5,1.1326011649466439e-5
spermidine,106986,107015,75654,4.1401915946742446e-4,4.006381593270441e-4,3.107936471993957e-4
sorbitol,4188025,129058,4568110,0.016207004564415532,4.831617956962076e-4,0.018766219469004038
sophorose,70878,106144,68717,2.7428682243220713e-4,3.9737734694771543e-4,2.8229580794935993e-4
shikimic acid,12069,12836,8281,4.67051505394383e-5,4.8054865328430016e-5,3.40191158756734e-5
serine,9137000,7196441,9469926,0.03535876712891273,0.02694172663594517,0.0389033341297008
salicyl alcohol,45720,60338,52376,1.769292801941436e-4,2.258908121055477e-4,2.1516546469077047e-4
saccharic acid,43809,48586,29505,1.6953400778707867e-4,1.818941794053522e-4,1.2120927592220068e-4
ribulose-5-phosphate,5088,3124,2627,1.96897676646501e-5,1.1695496983952583e-5,1.0791959594903276e-5
ribose-5-phosphate,1452,2733,5278,5.619013885430807e-6,1.0231687982439953e-5,2.1682513415264367e-5
ribonic acid,29825,35647,24381,1.1541810546348058e-4,1.3345370710209916e-4,1.0015940878695729e-4
ribitol,261494,337608,200503,0.0010119410585102226,0.0012639223257868962,8.236849161236741e-4
quinic acid,2653,4460,2136,1.0266696858159731e-5,1.66971563855405e-5,8.77488606574549e-6
pyrophosphate,488030,817236,63860,0.0018886001008999976,0.003059533025985107,2.623428015723347e-4
putrescine,183577,211118,142473,7.10414402235352e-4,7.903744981620043e-4,5.852922951521335e-4
