BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
zymostenol,539,625,590,2.2292816601009705e-6,2.5787628121755878e-6,2.311505058436944e-6
xylulose,262527,220375,251877,0.0010858007910599767,9.092717675731123e-4,9.86805016277834e-4
xylose,69616,50725,63945,2.8792889063003555e-4,2.092923898361707e-4,2.50524052477543e-4
xanthosine,3781,2313,3493,1.5638059289131298e-5,9.543485415299415e-6,1.3684893506983465e-5
xanthine,270977,194038,301047,0.0011207496408333593,8.006047656782827e-4,0.0011794434971648588
valine,3380485,4119858,5135120,0.01398154584925126,0.016998618562950547,0.02011839975539105
uridine-5'-monophosphate,8331,5519,30872,3.445667070556806e-5,2.277150713663531e-5,1.2095048163400904e-4
uridine,217030,193959,259847,8.976270847712683e-4,8.002788100588237e-4,0.0010180299235926517
uric acid,587088,221218,303028,0.002428171635000665,9.127500028541747e-4,0.0011872046692339496
urea,222396,455487,494360,9.198206383670045e-4,0.001879348699247075,0.0019368061706591315
uracil,639450,529682,687998,0.0026447386967561512,0.0021854787902060636,0.0026954421308381365
undecanoic acid,25773,95258,33751,1.0659605978809333e-4,3.9303646073955543e-4,1.3222984275814456e-4
UDP-N-acetylglucosamine,23408,17379,24245,9.681451781009928e-5,7.170611026047926e-5,9.498718668102322e-5
UDP-glucuronic acid,2584,8934,8266,1.0687316901114856e-5,3.686186714236272e-5,3.238457764921996e-5
tyrosine,3799161,2460190,5043957,0.015713172432413474,0.010150794372618014,0.01976124088142107
tryptophan,6014411,5584659,7055071,0.02487535461708634,0.02304241751661073,0.02764039373581659
trisaccharide,6230,5470,6568,2.5767021785582645e-5,2.2569332132160743e-5,2.5732144447142114e-5
tridecanoic acid,2176573,1925720,2478083,0.009002215715716046,0.007945560196260436,0.009708646423265419
tocopherol gamma-,977,604,547,4.040831506342575e-6,2.492116381686488e-6,2.1430394355339125e-6
tocopherol alpha-,4713,2563,2341,1.9492772660586034e-5,1.057499054016965e-5,9.171581935255739e-6
thymine,7940,6960,9876,3.2839510911320414e-5,2.8717102676387344e-5,3.869224399512417e-5
threonine,2781078,2611148,3295223,0.011502423340835411,0.010773650175178659,0.012910041751148748
terephthalic acid,1687,2721,1752,6.977362079017322e-6,1.1226901779087639e-5,6.863994682002586e-6
tagatose,3169,3098,3152,1.3106852654656725e-5,1.2782411507391953e-5,1.2348921939310589e-5
sucrose,9132,4744,5656,3.776957350657154e-5,1.957384124953758e-5,2.215910611952433e-5
succinic acid,141163,131801,158547,5.838443172260357e-4,5.438136278520875e-4,6.211562584745799e-4
stigmasterol,168,216,190,6.948410369145882e-7,8.912204278878831e-7,7.443829849203717e-7
stearic acid,762406,688446,720281,0.0031532796166065685,0.0028405423087856556,0.0028219206355864753
squalene,4834,2759,2354,1.999322364550666e-5,1.1383690558067915e-5,9.222513402645027e-6
spermidine,122155,64642,77776,5.052280170494138e-4,2.6671421712744697e-4,3.047112159745623e-4
sorbitol,2595751,83878,2819153,0.0107359185500719,3.4608234745546235e-4,0.011044892237301162
sophorose,58272,45606,62369,2.4101057680408857e-4,1.8817129089932776e-4,2.4434959150788774e-4
shikimic acid,13066,9110,9317,5.404043445432148e-5,3.7588046750271365e-5,3.650219089738476e-5
serine,10947328,11969103,6132350,0.045277694874786334,0.04938476433839882,0.024025352618823378
salicyl alcohol,38262,37586,38779,1.5825004615729746e-4,1.5508060649349061e-4,1.519285672222479e-4
